"","state","date","symptom.x","finances_samplesize","finances_stderr","symptom.y","symptom_samplesize","symptoms_stderr","maskwearing","maskwearing_samplesize","maskwearing_stderr","admission","depression"
"5826","ma",2021-08-23,33.9831791,1833.005,1.1063116,1.1565228,3992.0125,0.2102055,50.8374586,3670.012,0.8252306,0.0046079,12.1453495
"5827","md",2021-08-23,35.4881529,1615.9991,1.1902574,0.5455579,3517.9908,0.137379,67.6965331,3233.9911,0.8223153,0.002359,9.689239
"5828","me",2021-08-23,31.9736304,741.2234,1.7130106,1.5802289,1622.2234,0.3584045,42.1770664,1507.2234,1.2720361,0,12.0628069
"5829","mi",2021-08-23,31.7329406,4030.0158,0.7331746,1.0966278,8863.0205,0.1345953,41.4240019,8068.0212,0.5484062,0.0043001,12.6170637
"5830","mn",2021-08-23,28.4952452,1735.6722,1.0834773,1.7959356,3800.2427,0.5196163,38.5435522,3467.2478,0.8265462,0,11.0988784
"5831","mo",2021-08-23,37.3043836,2082.7561,1.0596912,1.3461005,4687.4522,0.1958673,56.1849393,4237.4527,0.7622005,0.0185784,12.4242558
"5832","ms",2021-08-23,44.4613511,1193.8923,1.4381574,3.5998628,2873.6609,0.6754534,67.1085546,2473.209,0.9447133,0.0385217,13.010133
"5833","mt",2021-08-23,31.8657358,505.894,2.0716434,1.191984,1165.496,0.3451812,30.5362571,1026.5206,1.4374845,0,9.6197572
"5834","nc",2021-08-23,38.0073377,3585.004,0.8106979,1.5938748,8106.0098,0.1616299,62.9565269,7287.0093,0.56572,0.0080856,11.5197412
"5835","nd",2021-08-23,35.947283,287.281,2.8310554,1.8226309,594.8861,0.603086,24.9261222,545.6126,1.8519514,0.0559998,11.8360298
"5836","ne",2021-08-23,34.7289748,773.8566,1.7114963,1.3109828,1668.8619,0.2901692,36.749078,1524.8576,1.2346447,0,10.9774477
"5837","nh",2021-08-23,31.9539213,662.7766,1.8112569,0.8767613,1471.7766,0.23498,39.7936917,1364.7766,1.3249434,0,12.160279
"5838","nj",2021-08-23,38.8815321,2266.9989,1.0238404,0.7491511,5007.9978,0.1180793,62.749244,4530.9981,0.7182487,0.0112583,9.5107776
"5839","nm",2021-08-23,41.1404628,1054.9486,1.5150514,1.6720431,2286.2791,0.4116202,70.9918635,2073.1671,0.99666,0,14.4752709
"5840","nv",2021-08-23,39.645138,829.4612,1.6984511,1.6655008,1896.0333,0.3706183,81.7808358,1711.2588,0.9331085,0,12.4304436
"5841","ny",2021-08-23,40.0850262,4942.9993,0.6970493,0.8317616,10871.9998,0.1424745,59.5559194,9882.9998,0.49368,0.0051715,11.515569
"5842","oh",2021-08-23,35.3828807,4201.0003,0.7377242,1.1975105,8910.0023,0.1303832,39.2092853,8090.0012,0.5427987,0.0048869,13.4288996
"5843","ok",2021-08-23,42.6494292,1708.2712,1.1965947,2.3395035,3806.3832,0.3696087,50.5121996,3406.6265,0.8566136,0.010766,12.8801408
"5844","or",2021-08-23,37.757976,2102.5886,1.057229,1.6875031,4390.7575,0.2392806,76.3755482,4006.6086,0.6710727,0.0235765,15.0541421
"5845","pa",2021-08-23,33.7111955,4190.0025,0.7302979,1.3107198,9279.0047,0.1514726,43.8112779,8456.0045,0.539554,0.0134104,13.1279342
"5846","ri",2021-08-23,33.7710391,365.995,2.4720577,0.7514359,820.9875,0.4790382,51.0295751,746.988,1.8290311,0,14.1944637
"5847","sc",2021-08-23,36.6898139,2325.0011,0.9995349,1.9980021,5132.0024,0.2202862,54.7919286,4584.0019,0.7350957,0.0219021,10.6633384
"5848","sd",2021-08-23,29.6446629,364.2207,2.3929822,1.652419,793.8603,0.4149596,28.5616284,742.1209,1.6581351,0.0480075,8.6203817
"5849","tn",2021-08-23,39.1681083,2578.616,0.961255,2.2211325,5727.1742,0.2056378,52.3775474,5086.1739,0.700298,0.0082974,13.4136583
"5850","tx",2021-08-23,44.6361248,7964.6316,0.5570237,2.2555205,18185.5491,0.1435927,65.9332072,16125.3041,0.373219,0.0155699,12.8285138
"5851","ut",2021-08-23,37.8792956,1001.1382,1.5331058,1.1688302,2179.9528,0.2403866,38.8038687,1976.9528,1.0959768,0,13.1728758
"5852","va",2021-08-23,34.4256583,3091.2949,0.8545508,1.3180358,6801.0033,0.2092427,60.4777147,6144.7821,0.6236852,0.0232814,11.2064558
"5853","vt",2021-08-23,31.3609248,339.0004,2.519881,0.8053327,690.0006,0.4463329,47.867516,645.0006,1.9669558,0.0229178,11.6469201
"5854","wa",2021-08-23,31.7320097,3075.9834,0.8391998,1.0714901,6558.9606,0.1392893,66.5213672,6050.9627,0.6066696,0.0018568,12.8612439
"5855","wi",2021-08-23,29.4047648,2185.9844,0.9744802,1.0407977,4773.9788,0.1594948,37.8780392,4393.9779,0.7317915,0,10.7892062
"5856","wv",2021-08-23,40.6080307,855.2,1.6793297,1.4929729,1932.5358,0.2888927,40.5546522,1724.5355,1.1823422,0.0160083,17.7712307
"5857","wy",2021-08-23,45.4933087,282.0453,2.9650993,2.5295751,599.0189,0.5892507,31.899787,541.0035,2.0038633,0,18.9419432
"5858","ak",2021-08-24,34.5298137,319,2.6620951,1.4486196,685,0.520115,56.9291271,627,1.9775402,0.1367693,15.5732315
"5859","al",2021-08-24,42.5316087,1947.0626,1.120419,2.7920082,4412.1182,0.2558099,62.171201,3868.1057,0.7797524,0.0870809,14.1637156
"5860","ar",2021-08-24,41.1808873,1298.5931,1.3657479,3.3204141,2881.7135,0.9592969,61.3815187,2580.7133,0.9583994,0.0329976,16.0992106
"5861","az",2021-08-24,38.1255291,2240.632,1.0260734,1.7588084,5001.1136,0.2097138,58.1805602,4539.228,0.7321281,0.0173244,13.8268303
"5862","ca",2021-08-24,40.4658708,9082.7096,0.5150148,1.3224095,20082.9812,0.0977576,77.6473118,18217.912,0.3086589,0.0025401,11.964579
"5863","co",2021-08-24,34.7582601,1829.9347,1.113202,1.2950308,4085.7845,0.1780913,43.1350848,3752.7856,0.8084639,0.0049196,13.2092626
"5864","ct",2021-08-24,33.4357847,1393,1.2640103,0.9490259,3038,0.1954176,65.9384752,2787,0.8977037,0,9.7228713
"5865","dc",2021-08-24,30.5566527,131,4.0246912,0.5335926,321,0.4186466,78.7262144,290,2.4031621,0,12.4459323
"5866","de",2021-08-24,38.51718,418,2.3802139,1.8618779,937.0073,0.8366751,55.7295684,848.0073,1.7056893,0.0289533,11.3115147
"5867","fl",2021-08-24,40.5055012,7967.9997,0.5499469,2.4342835,17949.9985,0.1402431,67.2561634,15984.9988,0.3711714,0.0210342,12.079339
"5868","ga",2021-08-24,40.4395165,3185.9559,0.8694852,2.6167708,7153.9068,0.1969371,65.0055383,6335.9183,0.5991976,0.0160064,13.817412
"5869","hi",2021-08-24,39.8616573,490,2.2118484,1.0589385,1105,0.3000428,92.3769832,999,0.839581,0,12.9366482
"5870","ia",2021-08-24,33.2173516,1461.7183,1.2319199,1.7162514,3208.1643,0.3321023,37.0000892,2932.1644,0.8916146,0,12.5162111
"5871","id",2021-08-24,32.39614,793.0407,1.6618225,1.3609312,1689.0969,0.2807706,35.8421282,1528.0874,1.2267266,0,13.6705708
"5872","il",2021-08-24,36.1205721,4015.0221,0.7580779,1.4127201,8919.0229,0.1782071,58.4938079,8137.0232,0.5462339,0.0011349,11.8844596
"5873","in",2021-08-24,34.2123009,2437.0022,0.9610269,1.7234051,5304.0033,0.2088764,45.4748274,4779.0031,0.7203033,0.0549861,13.8825435
"5874","ks",2021-08-24,35.7010471,1215.0579,1.3744975,1.6416672,2741.03,0.2913347,49.2372732,2489.0296,1.0020847,0.0098055,12.5767328
"5875","ky",2021-08-24,41.8760095,1899.3809,1.1320206,2.2526965,4174.8223,0.2630592,54.8822789,3724.1318,0.815412,0.0159537,14.5384417
"5876","la",2021-08-24,43.3677583,1865.5542,1.147391,2.3658766,4254.7388,0.2855485,78.4476973,3699.7388,0.6760073,0.0153765,13.8538666
"5877","ma",2021-08-24,33.516462,1825.0055,1.1049791,1.1484092,3985.012,0.2071913,51.427625,3652.012,0.8270406,0.0077623,11.0664449
"5878","md",2021-08-24,34.6811264,1545.9993,1.2104902,0.4509915,3435.9908,0.1044238,67.5033972,3143.9911,0.8352974,0.002359,11.3921799
"5879","me",2021-08-24,33.2240063,735.2234,1.7371068,1.4090892,1619.2234,0.3293198,44.0118967,1498.2234,1.2824624,0,12.0609581
"5880","mi",2021-08-24,32.012546,4044.0161,0.7336148,1.1975469,8891.0211,0.1432918,41.2070431,8102.0214,0.5468292,0.0043001,12.5944694
"5881","mn",2021-08-24,28.0204697,1699.6201,1.0893471,1.6899696,3775.1254,0.5157503,39.078492,3442.1422,0.8316485,0,11.6953809
"5882","mo",2021-08-24,37.4131608,2101.9115,1.0554715,1.3132178,4692.6087,0.2014176,57.1597387,4259.609,0.7582044,0.0162561,13.3715511
"5883","ms",2021-08-24,44.141696,1209.5745,1.4277497,3.5959594,2889.3187,0.6733214,68.7089555,2479.6921,0.9311461,0.0481521,13.4930856
"5884","mt",2021-08-24,32.004706,498.9034,2.0885175,1.0042695,1165.4978,0.3251706,31.5061167,1036.5224,1.4428925,0,9.2545048
"5885","nc",2021-08-24,37.7546104,3586.0046,0.8095304,1.6703992,8074.0108,0.1898437,63.9257282,7281.0102,0.5627828,0.006738,11.6707782
"5886","nd",2021-08-24,36.4177752,281.2692,2.8692175,1.4417072,580.8886,0.5383177,25.6847249,533.6151,1.8913088,0.0746664,12.9754161
"5887","ne",2021-08-24,34.8426741,788.7589,1.6965444,1.3751749,1717.7542,0.294599,38.916459,1571.7499,1.2298072,0.0073731,12.0910596
"5888","nh",2021-08-24,31.9686692,683.7766,1.7834447,0.8980764,1497.7766,0.2391901,40.3482354,1376.7766,1.3221849,0,10.3960173
"5889","nj",2021-08-24,38.7115759,2260.9988,1.0243762,0.8976464,4958.9977,0.1427778,63.0458326,4482.9979,0.720901,0.0144749,9.5695637
"5890","nm",2021-08-24,39.1364764,1037.595,1.5151494,1.859316,2266.5714,0.452677,72.7905269,2062.4595,0.979952,0,14.4463855
"5891","nv",2021-08-24,40.5973934,821.8615,1.7129809,1.9173008,1876.4433,0.3875173,82.4397948,1695.6591,0.923983,0,12.7994526
"5892","ny",2021-08-24,40.8801298,4878.9996,0.7038133,0.8901027,10842.9998,0.1446563,60.0154887,9848.9998,0.4936072,0.0059103,11.3780102
"5893","oh",2021-08-24,34.6071283,4259.9993,0.7288585,1.2820175,9007.0019,0.1341902,40.3683702,8181.0008,0.542445,0.0048869,13.3391051
"5894","ok",2021-08-24,40.9161772,1678.271,1.2001921,2.2670691,3754.3264,0.3555456,50.701214,3355.5699,0.8630663,0.021532,12.0722977
"5895","or",2021-08-24,37.7304092,2068.4429,1.0657663,1.487471,4385.6119,0.1961373,77.6700406,3998.463,0.6586037,0.0235765,16.2806986
"5896","pa",2021-08-24,33.9023066,4196.0027,0.7307855,1.1925143,9306.0049,0.1469619,43.9700104,8480.0045,0.5390022,0.0134104,12.9654035
"5897","ri",2021-08-24,33.6106838,358.9945,2.493124,0.6895725,811.988,0.467057,49.982697,742.988,1.8343368,0,15.0456043
"5898","sc",2021-08-24,37.2525257,2344.0012,0.9986127,2.135352,5166.0028,0.2422743,55.6845359,4613.0021,0.7313969,0.0164265,10.9889543
"5899","sd",2021-08-24,29.6954028,356.4961,2.419965,2.1004761,784.2522,0.5099056,28.4638736,730.5215,1.6695261,0.0480075,6.2785133
"5900","tn",2021-08-24,39.5204271,2590.6119,0.9605368,2.3994119,5781.1735,0.2281094,53.1015131,5124.8634,0.6970946,0.0103718,12.6550621
"5901","tx",2021-08-24,44.7303027,7959.6309,0.5573115,2.3531899,18300.5491,0.1452252,66.3560935,16229.3035,0.3708888,0.0136236,12.6791948
"5902","ut",2021-08-24,39.1146773,1011.9432,1.5340804,1.3199338,2213.7338,0.2534082,38.3305931,2012.7314,1.0837142,0,13.9130025
"5903","va",2021-08-24,34.6916482,3114.0835,0.852966,1.4529966,6859.0644,0.2133405,61.268501,6217.4557,0.6177951,0.0216184,11.4332489
"5904","vt",2021-08-24,31.0889015,325.0002,2.5674705,0.8035902,680.0003,0.4455225,48.4714013,636.0003,1.9817018,0.0458355,11.8366584
"5905","wa",2021-08-24,33.4329717,3079.9824,0.850047,1.1122941,6600.9597,0.1427143,67.5016531,6073.9618,0.6009686,0.0018568,13.8717956
"5906","wi",2021-08-24,29.6007525,2162.9843,0.9815416,1.0764051,4766.9791,0.1670199,38.0843555,4379.978,0.7337321,0,11.2294956
"5907","wv",2021-08-24,42.2447721,865.2002,1.6792828,1.6706121,1979.4866,0.2971205,42.7136448,1767.486,1.1766056,0.0160083,17.3093789
"5908","wy",2021-08-24,43.4160108,287.0477,2.9254636,2.7075201,604.0309,0.6082581,33.6545247,540.0092,2.0334187,0,19.7978552
"5909","ak",2021-08-25,33.0475534,329,2.593313,1.4926786,692,0.517107,57.5271872,628,1.9724784,0.1367693,15.0044313
"5910","al",2021-08-25,40.926306,1912.0548,1.1244708,2.8229365,4388.0976,0.262366,62.4322906,3852.0906,0.7803038,0.0696647,14.4542233
"5911","ar",2021-08-25,42.1979661,1297.4084,1.3711311,3.3519459,2833.8297,0.962613,62.754821,2522.8291,0.9625309,0.0282837,17.4334806
"5912","az",2021-08-25,37.3351007,2235.9859,1.0229074,1.7943196,5002.5819,0.2115014,58.6407982,4549.5819,0.7301301,0.0173244,12.9604448
"5913","ca",2021-08-25,40.9692986,9133.11,0.5145871,1.3043641,20198.4781,0.0973223,78.2500609,18338.3524,0.304643,0.0021772,12.0376494
"5914","co",2021-08-25,33.1287641,1810.9347,1.1060402,1.2824522,4102.7845,0.1784608,43.3260686,3760.7856,0.8080291,0.0049196,12.5914645
"5915","ct",2021-08-25,34.6126039,1378,1.2815618,1.1406061,3014,0.206986,66.7212798,2765,0.8961236,0,10.4546126
"5916","dc",2021-08-25,28.7995786,133,3.9265265,0.8441481,322,0.5176327,76.406579,293,2.4804303,0,11.6021646
"5917","de",2021-08-25,40.27596,424,2.3818511,2.3858829,937.0073,0.9581638,58.7517981,852.0073,1.6865198,0.04343,10.8317625
"5918","fl",2021-08-25,40.4734773,8087.9997,0.5457829,2.3942761,18079.9982,0.1346935,67.0414612,16118.9985,0.3702429,0.0210342,12.1289276
"5919","ga",2021-08-25,40.0983325,3172.9635,0.8700617,2.7305687,7138.9228,0.2195377,65.5447109,6319.9288,0.597779,0.0120048,13.8923609
"5920","hi",2021-08-25,40.3264386,499,2.1960167,1.05771,1117,0.3042302,90.8018033,1014,0.9075689,0,13.356649
"5921","ia",2021-08-25,32.6324197,1456.7186,1.2284636,1.9726146,3205.0885,0.3784455,37.281673,2917.1882,0.8952879,0,13.159367
"5922","id",2021-08-25,32.8841346,804.0407,1.6567874,1.3318585,1723.0969,0.2747975,36.8384319,1554.0875,1.2235995,0,15.1335097
"5923","il",2021-08-25,35.7841027,4036.0223,0.7545527,1.4178709,9011.0235,0.1782205,59.3045239,8215.0238,0.5420166,0.0011349,11.5747085
"5924","in",2021-08-25,33.4456876,2422.0023,0.9586739,1.6230673,5311.0031,0.1768772,45.8869881,4770.0027,0.7215,0.0465267,12.8461222
"5925","ks",2021-08-25,35.9490858,1234.0584,1.3659624,1.6686723,2757.0894,0.2896119,48.3311691,2503.0597,0.9988318,0.0098055,13.1903664
"5926","ky",2021-08-25,41.4842869,1925.3809,1.1228448,2.2955394,4208.819,0.2618155,55.5215879,3731.1287,0.8135523,0.0095722,14.4594491
"5927","la",2021-08-25,43.1124458,1889.7392,1.1392237,2.3200767,4249.9238,0.2582777,78.5623997,3694.9235,0.6751383,0.0246024,13.303385
"5928","ma",2021-08-25,34.8848191,1819.005,1.1174868,0.8974771,3959.011,0.1559327,52.0374273,3635.011,0.8286217,0.0077623,11.6765533
"5929","md",2021-08-25,34.0838364,1540.9992,1.2074495,0.4391725,3400.9908,0.1046107,67.7452125,3105.991,0.8387573,0.002359,11.5994534
"5930","me",2021-08-25,30.1663751,754.2234,1.6712594,1.3931621,1633.2234,0.3396523,45.1476729,1502.2234,1.2839495,0,13.3685851
"5931","mi",2021-08-25,31.33833,4099.017,0.7245281,1.5540079,8934.0218,0.2347072,41.0797904,8141.0223,0.5452639,0.0028667,12.4967331
"5932","mn",2021-08-25,27.8224973,1708.7103,1.0840886,1.5390747,3788.1833,0.5178634,38.5271023,3450.1999,0.8285198,0,11.9567298
"5933","mo",2021-08-25,36.948768,2136.9113,1.0441275,1.3720142,4710.3071,0.1839069,57.4126134,4257.3074,0.7578385,0.0139338,13.8541781
"5934","ms",2021-08-25,44.7868479,1220.5746,1.4233587,2.6989522,2858.4069,0.3494711,69.6398181,2443.7803,0.9301434,0.0577826,13.4959431
"5935","mt",2021-08-25,33.0481916,528.9375,2.0452803,1.21875,1197.2803,0.3471149,32.1454935,1063.3049,1.4322555,0,10.0759599
"5936","nc",2021-08-25,37.6846548,3662.0041,0.8007932,1.6730691,8121.0105,0.1872434,64.8016301,7347.0099,0.5571844,0.006738,11.1977679
"5937","nd",2021-08-25,34.5923359,280.1685,2.8418072,1.4653519,578.9111,0.524488,26.0584735,529.7657,1.9071145,0.0559998,12.8819317
"5938","ne",2021-08-25,35.9861788,798.8206,1.6981659,1.4127897,1732.8026,0.297309,39.709271,1593.8277,1.225605,0.0073731,12.2966755
"5939","nh",2021-08-25,33.7045645,655.7766,1.8459002,1.1161067,1470.7766,0.2592179,40.7188652,1347.7766,1.3382804,0,13.4904361
"5940","nj",2021-08-25,38.8856739,2214.9991,1.0358087,0.8300745,4913.9983,0.1379339,63.2811236,4447.9984,0.7227689,0.0112583,9.5532033
"5941","nm",2021-08-25,40.7483126,1042.2452,1.5220195,1.4667752,2273.0018,0.3004422,75.1172892,2061.0043,0.9523122,0,12.37364
"5942","nv",2021-08-25,38.5629886,831.8902,1.6875917,1.9689132,1901.3755,0.402731,81.903804,1706.6478,0.9319095,0.0182085,12.8980247
"5943","ny",2021-08-25,40.7004824,4811.9998,0.7082108,0.923772,10777.9998,0.1457202,60.1947081,9781.0001,0.4949461,0.0059103,11.2635961
"5944","oh",2021-08-25,34.5868579,4312.9997,0.7242664,1.1878228,9077.0027,0.1220988,40.8515082,8268.0017,0.5405995,0.0061086,13.2731407
"5945","ok",2021-08-25,41.0978889,1669.0279,1.2043241,1.9631267,3749.084,0.2280294,51.9274693,3341.3271,0.8643459,0.021532,13.4284323
"5946","or",2021-08-25,37.9037617,2052.016,1.0709851,1.6327575,4360.1853,0.2095857,78.2228594,3971.0342,0.654961,0.0202085,15.7181006
"5947","pa",2021-08-25,33.5344445,4221.0026,0.7266681,1.15271,9325.005,0.1432547,44.7644023,8493.0045,0.5395668,0.0145279,12.9293254
"5948","ri",2021-08-25,32.2656524,362.995,2.4537165,0.795287,823.989,0.4788385,49.1491569,753.989,1.8206422,0,13.7457857
"5949","sc",2021-08-25,38.224154,2357.0013,1.0009177,2.2097325,5233.0035,0.2407797,57.6331782,4688.0029,0.7216977,0.0164265,11.5598709
"5950","sd",2021-08-25,30.3223706,358.4073,2.4279505,1.9768778,798.3363,0.49907,29.8398111,739.3867,1.6827035,0.032005,6.9583864
"5951","tn",2021-08-25,40.3533904,2684.6117,0.9468739,2.5255757,5927.1663,0.2305941,54.4219705,5268.8558,0.6861305,0.0082974,13.2885304
"5952","tx",2021-08-25,44.5002749,7958.8686,0.5570589,2.4242358,18245.8917,0.1436867,66.8679973,16188.646,0.369937,0.0141102,13.0507946
"5953","ut",2021-08-25,37.9573177,1027.9432,1.5135908,1.1648893,2251.7337,0.237875,37.9731141,2042.7313,1.0737977,0,14.1442888
"5954","va",2021-08-25,34.9170591,3076.2543,0.8594909,1.4194793,6771.7012,0.1960101,62.1082741,6153.9934,0.6183985,0.0216184,11.0636718
"5955","vt",2021-08-25,31.3891755,321.0002,2.5902019,0.5923916,671.0005,0.3938462,48.02326,627.0005,1.9952457,0.0458355,11.2197508
"5956","wa",2021-08-25,33.6808623,3099.98,0.8488512,1.1264661,6683.9573,0.1442828,69.0704409,6128.9616,0.5903907,0.0018568,14.0644517
"5957","wi",2021-08-25,29.3006786,2193.985,0.9716943,1.066317,4799.9794,0.1672777,37.8279998,4405.9785,0.7306055,0,11.9911674
"5958","wv",2021-08-25,42.4672772,878.1513,1.6680152,1.5202241,2007.4378,0.2800172,43.2678334,1779.4372,1.1745079,0.0160083,16.470421
"5959","wy",2021-08-25,42.7573796,273.0514,2.99394,2.7093064,603.052,0.6062208,32.4336116,531.0216,2.0314536,0,19.7382959
"5960","ak",2021-08-26,34.6785922,318,2.6689777,1.7510822,692,0.5329985,57.1034602,618,1.9908939,0.1367693,15.9765302
"5961","al",2021-08-26,41.2018352,1896.0611,1.1303528,2.8207961,4396.1071,0.2601364,63.6131124,3847.0983,0.7756738,0.0812755,14.3564783
"5962","ar",2021-08-26,41.0356324,1309.5869,1.3592778,3.3336904,2840.2103,0.9547666,61.8301513,2524.2098,0.9669358,0.0377116,17.3429455
"5963","az",2021-08-26,37.159068,2263.6792,1.0156552,1.9231218,5007.0826,0.2149243,59.0753782,4541.0826,0.7296522,0.0173244,12.6639028
"5964","ca",2021-08-26,41.2069956,9112.1003,0.515631,1.2861889,20170.0451,0.0972433,78.4659191,18310.9194,0.3037726,0.0021772,12.0525526
"5965","co",2021-08-26,34.6426549,1851.9347,1.1057067,1.2097454,4154.7845,0.1752859,44.3571642,3815.7856,0.8042564,0.0024598,13.3498318
"5966","ct",2021-08-26,34.4735133,1385,1.2771042,1.0747952,2996,0.201277,67.7021733,2752,0.8913818,0,10.7680214
"5967","dc",2021-08-26,25.877559,132,3.8119706,0.8520718,319,0.5220861,77.1242938,287,2.4793732,0,13.2316726
"5968","de",2021-08-26,39.9816764,422,2.3846037,2.3104344,956.0073,0.9457827,56.3855679,872.0073,1.6793415,0.0289533,10.8598466
"5969","fl",2021-08-26,39.9672594,8149.9997,0.5425846,2.4361794,18168.9988,0.1326334,67.3520699,16206.9996,0.3683426,0.0203769,11.8317463
"5970","ga",2021-08-26,39.1836288,3184.9576,0.8649893,2.6569708,7112.9148,0.2161864,66.3462141,6288.9222,0.59585,0.0146725,13.9005297
"5971","hi",2021-08-26,39.1047474,494,2.1955483,1.2778222,1094,0.3500257,90.1075645,985,0.9512926,0,11.7566599
"5972","ia",2021-08-26,32.9502052,1483.6941,1.2202691,1.9855776,3247.9874,0.3613166,37.7310997,2948.0987,0.8927181,0,14.4569573
"5973","id",2021-08-26,33.7398562,807.3214,1.6640814,1.4092337,1728.3507,0.2862783,36.4731294,1567.3505,1.2158561,0,15.8039087
"5974","il",2021-08-26,35.7182913,4079.0225,0.7502586,1.2828727,9076.0244,0.1577756,59.6661385,8253.0246,0.5399982,0.0011349,11.9081302
"5975","in",2021-08-26,34.091401,2438.0057,0.9600108,1.7512802,5348.0069,0.1879653,46.7172856,4794.0063,0.7205808,0.042297,12.7663552
"5976","ks",2021-08-26,36.5380018,1248.0585,1.36305,1.5444345,2810.0891,0.2776742,47.0455669,2543.0594,0.9897654,0.0049028,13.3862174
"5977","ky",2021-08-26,41.7239597,1922.0693,1.1247429,2.250016,4180.4403,0.2435085,56.3276635,3704.7504,0.814863,0.0063815,15.0393158
"5978","la",2021-08-26,43.1081013,1843.5541,1.1533914,2.3352799,4202.7383,0.2453839,79.7725577,3671.7382,0.6629204,0.030753,13.7788945
"5979","ma",2021-08-26,34.4128816,1761.0055,1.1321121,0.785717,3872.0125,0.1419286,52.230683,3550.012,0.8383444,0.0077623,11.3197336
"5980","md",2021-08-26,32.9304692,1511.9993,1.2086089,0.4884744,3353.9911,0.1111207,68.0569171,3055.9912,0.8434289,0.002359,10.6113018
"5981","me",2021-08-26,31.1442727,758.2234,1.6817465,1.4596186,1630.2234,0.3478088,45.4485125,1493.2234,1.2885484,0,14.0511581
"5982","mi",2021-08-26,31.5211767,4133.0165,0.7226796,1.4425708,8985.0218,0.2305806,41.0525211,8196.0222,0.5433766,0.0043001,12.3782633
"5983","mn",2021-08-26,28.6312601,1702.6321,1.0955037,1.5673399,3817.1143,0.5158184,38.836988,3465.1187,0.8279577,0.0050503,11.7217031
"5984","mo",2021-08-26,36.5292018,2121.8429,1.0453229,1.3758891,4685.0361,0.1842249,57.4224004,4243.0363,0.7590893,0.0116115,14.0340394
"5985","ms",2021-08-26,44.6336811,1221.5393,1.4223303,2.8680479,2796.162,0.3614996,70.6231068,2415.5355,0.926765,0.067413,13.8669938
"5986","mt",2021-08-26,33.3076751,531.9279,2.0435426,1.4301442,1219.2821,0.3680695,31.9308845,1092.2801,1.4106313,0,9.0972496
"5987","nc",2021-08-26,38.170368,3689.0043,0.799847,1.6658875,8115.0105,0.1887397,65.2816222,7353.0099,0.5551912,0.006738,10.9207833
"5988","nd",2021-08-26,34.9525235,261.0404,2.9512135,1.6579841,567.7813,0.557224,25.4708711,518.6532,1.9131384,0.0559998,12.5151031
"5989","ne",2021-08-26,34.9542814,798.8342,1.6870627,1.4848138,1756.8213,0.2958789,40.1357372,1615.848,1.2194084,0.0073731,12.4471673
"5990","nh",2021-08-26,34.8398151,680.7766,1.8261093,1.1549494,1486.7766,0.265475,42.1704511,1358.7766,1.3396921,0,13.5810169
"5991","nj",2021-08-26,38.5444447,2204.9992,1.0364712,0.8072541,4884.9984,0.1344704,63.1515789,4426.9985,0.7250148,0.0096499,9.454168
"5992","nm",2021-08-26,41.1985675,1055.6441,1.5148731,1.5176481,2276.4067,0.319218,75.9711964,2072.4072,0.9385405,0,12.4334209
"5993","nv",2021-08-26,37.9776131,829.6269,1.6849874,1.6278522,1897.2531,0.3351226,83.4253591,1695.3787,0.903104,0.0182085,11.3363784
"5994","ny",2021-08-26,40.9047488,4788.0003,0.710536,0.9414721,10735,0.1545361,60.666768,9736.0001,0.4950681,0.0051715,11.371684
"5995","oh",2021-08-26,34.0661904,4250.9965,0.726893,1.1973458,9062.9999,0.1242715,41.6919197,8234.9988,0.5433236,0.0048868,13.7292276
"5996","ok",2021-08-26,41.1097164,1661.0274,1.2072735,2.1651459,3737.0833,0.2472768,52.9934272,3325.3266,0.8655121,0.0251207,13.8882149
"5997","or",2021-08-26,38.3882935,2055.0193,1.0728106,1.8307728,4352.4682,0.2980943,78.083439,3980.4615,0.6556906,0.0134723,16.1480319
"5998","pa",2021-08-26,32.6683519,4232.0023,0.7209419,1.1530023,9306.0045,0.1513809,44.3787996,8479.004,0.5395548,0.0122929,12.5361936
"5999","ri",2021-08-26,35.235088,357.9945,2.5247559,0.9110755,810.9875,0.4954263,49.615199,739.988,1.837997,0,15.6288981
"6000","sc",2021-08-26,38.3282207,2333.0012,1.0065726,2.2236343,5212.0042,0.2428994,57.1623687,4660.0035,0.7248943,0.0164265,11.7004671
"6001","sd",2021-08-26,31.2910509,363.7151,2.4312861,1.9571641,793.7324,0.4933612,28.6370901,733.7724,1.6688605,0.0160025,7.732773
"6002","tn",2021-08-26,41.0087702,2712.9228,0.9443074,2.6967093,6026.5431,0.2305425,55.3005394,5329.2327,0.681057,0.0082974,13.5035138
"6003","tx",2021-08-26,44.7880933,8003.8683,0.5558373,2.4261232,18211.8846,0.1434488,66.7173884,16163.6405,0.3706454,0.0121639,13.1323665
"6004","ut",2021-08-26,36.9808379,1043.8509,1.4941887,1.1635157,2276.8316,0.2219168,38.079361,2080.8292,1.0644967,0.0043958,13.7105584
"6005","va",2021-08-26,34.9530777,3063.5878,0.8614715,1.5553315,6791.7464,0.211345,63.1070102,6184.3089,0.6135714,0.0166296,11.7008003
"6006","vt",2021-08-26,34.1231842,317.0002,2.6629395,0.5529781,666.0006,0.392413,49.3546147,621.0006,2.0062628,0.0458355,11.9255413
"6007","wa",2021-08-26,34.3440492,3096.9776,0.8532843,1.1079251,6705.957,0.1401737,70.3962232,6141.9635,0.5824982,0.0018568,14.2635634
