"","state","date","admission","maskwearing","delphi_samplesize","maskwearing_stderr","symptom","symptoms_stderr"
"77","mn",2021-05-02,89.7142857,86.5706916,3169.6764,0.6056264,NA,NA
"78","mo",2021-05-02,70.1428571,76.7179797,3297.8836,0.735938,NA,NA
"79","ms",2021-05-02,29,72.9775429,1450.8683,1.165851,NA,NA
"80","mt",2021-05-02,14.7142857,69.6679261,892.6096,1.5386389,NA,NA
"81","nc",2021-05-02,122.5714286,86.3488752,5466.0054,0.4643843,NA,NA
"82","nd",2021-05-02,11.4285714,65.5405368,446.3577,2.2494054,NA,NA
"83","ne",2021-05-02,15.4285714,79.3417058,1214.1325,1.1618898,NA,NA
"84","nh",2021-05-02,11.1428571,87.6520828,1217,0.9430456,NA,NA
"85","nj",2021-05-02,168,92.5133039,4153.9984,0.4083326,NA,NA
"86","nm",2021-05-02,23.2857143,89.5346748,1758.7098,0.7299194,NA,NA
"87","nv",2021-05-02,49,87.8403854,1383.8269,0.8785493,NA,NA
"88","ny",2021-05-02,300.4285714,92.2803975,8913.0005,0.2827094,NA,NA
"89","oh",2021-05-02,186.4285714,84.2183533,6962.9994,0.4368993,NA,NA
"90","ok",2021-05-02,36.1428571,74.684805,2283.9984,0.9098271,NA,NA
"91","or",2021-05-02,37.4285714,88.2081347,3236.1694,0.5669307,NA,NA
"92","pa",2021-05-02,270,85.5733479,7959.0042,0.3938426,NA,NA
"93","pr",2021-05-02,34.4285714,NA,NA,NA,NA,NA
"94","ri",2021-05-02,9.2857143,94.3517776,719.992,0.860334,NA,NA
"95","sc",2021-05-02,50,79.7389664,3183.0018,0.712439,NA,NA
"96","sd",2021-05-02,12,67.0741116,679.1784,1.8032431,NA,NA
"97","tn",2021-05-02,88.1428571,78.189897,3693.2509,0.6795161,NA,NA
"98","tx",2021-05-02,349.7142857,81.5089967,11370.0127,0.3640848,NA,NA
"99","ut",2021-05-02,24,79.1991581,1668.2165,0.993744,NA,NA
"100","va",2021-05-02,84.5714286,90.1068831,5250.6423,0.41204,NA,NA
"101","vi",2021-05-02,0.1428571,NA,NA,NA,NA,NA
"102","vt",2021-05-02,3.8571429,92.9178416,628.001,1.0236517,NA,NA
"103","wa",2021-05-02,74.7142857,90.6024532,5049.9754,0.4106129,NA,NA
"104","wi",2021-05-02,84.1428571,81.1441234,3808.0047,0.6338743,NA,NA
"105","wv",2021-05-02,31.8571429,82.2676705,1419.0548,1.0139065,NA,NA
"106","wy",2021-05-02,6,54.9444629,432.7598,2.3917325,NA,NA
"107","ak",2021-05-03,6.2857143,76.0472707,480,1.9480437,NA,NA
"108","al",2021-05-03,64.4285714,73.7158084,2214.0365,0.9354816,NA,NA
"109","ar",2021-05-03,36.4285714,73.342435,1549.1934,1.1234017,NA,NA
"110","az",2021-05-03,72.2857143,82.4365492,3752.873,0.6211306,NA,NA
"111","ca",2021-05-03,232.8571429,91.1047847,14867.2048,0.2334717,NA,NA
"112","co",2021-05-03,117.7142857,86.2013048,3402.903,0.5912228,NA,NA
"113","ct",2021-05-03,66.1428571,92.2776417,2483,0.5357163,NA,NA
