"","state","state_full","date","finances_prop","symptom_prop","maskwearing_prop","admission_prop","depression_prop"
"66","IL","District of Columbia",2021-05-02,36.6045139,1.1109443,88.0204245,0.0022698,9.8910778
"67","IN","District of Columbia",2021-05-02,37.4655855,1.530477,80.1138094,0.014804,12.2989903
"68","KS","District of Columbia",2021-05-02,33.8056932,1.0195817,74.5222293,0.0343194,12.545012
"69","KY","District of Columbia",2021-05-02,40.2492577,0.8602906,85.0089051,0.0095722,13.3727921
"70","LA","District of Columbia",2021-05-02,43.9270664,1.3281012,75.9766173,0.0123012,9.5698724
"71","MA","District of Columbia",2021-05-02,35.1286547,0.6235568,93.3364166,0.006217,10.2764259
"72","MD","District of Columbia",2021-05-02,35.3754372,0.4916917,92.8818398,0,8.2887763
"73","ME","District of Columbia",2021-05-02,36.6538536,0.5192913,89.9462436,0,13.4804562
"74","MI","District of Columbia",2021-05-02,33.3925407,1.1452951,89.2926884,0.0028667,11.4255399
"75","MN","District of Columbia",2021-05-02,29.1459725,1.0381025,86.5706916,0.0050503,11.2906088
"76","MO","District of Columbia",2021-05-02,34.1497486,0.9320137,76.7179797,0.0069669,12.8871853
"77","MS","District of Columbia",2021-05-02,44.9825825,1.3755175,72.9775429,0.0144456,12.3472194
"78","MT","District of Columbia",2021-05-02,32.4143383,0.5413086,69.6679261,0,8.5806103
"79","NC","District of Columbia",2021-05-02,34.6665516,0.6063735,86.3488752,0.1266748,9.3926842
"80","ND","District of Columbia",2021-05-02,28.5013161,1.3431597,65.5405368,0,8.4411438
"81","NE","District of Columbia",2021-05-02,34.1637247,0.8958161,79.3417058,0,11.2255115
"82","NH","District of Columbia",2021-05-02,28.6033415,1.2954295,87.6520828,0,11.2307621
"83","NJ","District of Columbia",2021-05-02,39.1493048,0.9308552,92.5133039,0.0080416,9.4753574
"84","NM","District of Columbia",2021-05-02,41.9757598,1.1656669,89.5346748,0,11.7973938
"85","NV","District of Columbia",2021-05-02,41.3988375,0.8985308,87.8403854,0.0182085,12.7513776
"86","NY","District of Columbia",2021-05-02,41.5461338,0.5109865,92.2803975,0.0118206,10.4981122
"87","OH","District of Columbia",2021-05-02,35.2921689,1.1772625,84.2183533,0,12.150201
"88","OK","District of Columbia",2021-05-02,42.7874965,1.0501229,74.684805,0.0251207,11.9764209
"89","OR","District of Columbia",2021-05-02,33.8921604,0.913425,88.2081347,0.0033681,13.2947346
"90","PA","District of Columbia",2021-05-02,34.7348217,1.2737103,85.5733479,0.0134104,11.0878491
"91","RI","District of Columbia",2021-05-02,40.6206146,0.3566427,94.3517776,0,15.4496715
"92","SC","District of Columbia",2021-05-02,37.4765743,1.1112203,79.7389664,0.0054755,9.1910083
"93","SD","District of Columbia",2021-05-02,36.1030642,1.7466429,67.0741116,0.032005,9.3801068
"94","TN","District of Columbia",2021-05-02,37.7616777,1.2314561,78.189897,0.0228179,11.9137076
"95","TX","District of Columbia",2021-05-02,44.9260099,0.9516444,81.5089967,0.0150833,10.3669775
"96","UT","District of Columbia",2021-05-02,35.1236328,0.9970265,79.1991581,0.0043958,13.6666148
"97","VA","District of Columbia",2021-05-02,34.5607695,0.7014407,90.1068831,0.0532145,10.4349795
"98","VT","District of Columbia",2021-05-02,29.8700264,0.323266,92.9178416,0,12.9272565
"99","WA","District of Columbia",2021-05-02,34.2469392,0.6859133,90.6024532,0.0037137,11.5112627
"100","WI","District of Columbia",2021-05-02,29.5578848,0.9212109,81.1441234,0.0097971,11.4851543
"101","WV","District of Columbia",2021-05-02,40.9276004,1.1947923,82.2676705,0.0400208,12.8161823
"102","WY","District of Columbia",2021-05-02,35.8714581,0.5440995,54.9444629,0.0245321,9.3062156
"103","AK","District of Columbia",2021-05-03,38.7751095,1.7839364,76.0472707,0.1367693,11.9775072
"104","AL","District of Columbia",2021-05-03,38.8195066,0.7619566,73.7158084,0.0551512,12.473083
"105","AR","District of Columbia",2021-05-03,39.229047,0.8934369,73.342435,0.0377115,12.4179488
"106","AZ","District of Columbia",2021-05-03,35.8631971,0.7652642,82.4365492,0.0096247,9.5798281
"107","CA","District of Columbia",2021-05-03,41.2742843,0.648483,91.1047847,0.0050803,10.0191086
"108","CO","District of Columbia",2021-05-03,33.8949177,0.9533417,86.2013048,0,9.9195758
"109","CT","District of Columbia",2021-05-03,35.8669875,0.7311557,92.2776417,0,9.6327369
"110","DC","District of Columbia",2021-05-03,28.5889253,0,92.5262444,0,6.696886
"111","DE","District of Columbia",2021-05-03,40.8050085,1.3637761,91.5216692,0,10.3263836
