,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
45,va,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.2665496,0.4235051,5136.4322,state,fb-survey
46,vt,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,12.2629371,1.304758,632.0008,state,fb-survey
47,wa,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.8217674,0.4561917,5008.9766,state,fb-survey
48,wi,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.4933968,0.5030832,3711.0043,state,fb-survey
49,wv,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,13.1368349,0.8973509,1417.1042,state,fb-survey
50,wy,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.6818179,1.5247886,443.753,state,fb-survey
51,ak,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.4306838,1.406186,512.0,state,fb-survey
52,al,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.7148503,0.6956961,2293.0443,state,fb-survey
53,ar,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.9868244,0.8155449,1586.193,state,fb-survey
54,az,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.6856832,0.4799671,3797.2039,state,fb-survey
55,ca,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,10.2158991,0.2466235,15080.2047,state,fb-survey
56,co,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.9625747,0.5098363,3450.9068,state,fb-survey
57,ct,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.5065717,0.5718209,2631.0,state,fb-survey
58,dc,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,7.5447343,1.5672152,284.0,state,fb-survey
59,de,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.0125345,1.1785158,761.0,state,fb-survey
60,fl,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.1622713,0.2663135,11735.0004,state,fb-survey
61,ga,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,10.9020416,0.486504,4103.9573,state,fb-survey
62,hi,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.7684433,1.0797694,756.0,state,fb-survey
63,ia,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,8.9909374,0.582239,2413.7209,state,fb-survey
64,id,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.63806,0.8373436,1242.1321,state,fb-survey
65,il,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.8910778,0.3485825,7335.0011,state,fb-survey
66,in,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.2989903,0.5263742,3893.0035,state,fb-survey
67,ks,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.545012,0.7686079,1857.1458,state,fb-survey
68,ky,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,13.3727921,0.6878058,2448.7518,state,fb-survey
69,la,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.5698724,0.6357719,2140.9995,state,fb-survey
70,ma,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,10.2764259,0.5071416,3585.0085,state,fb-survey
71,md,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,8.2887763,0.5070268,2956.9979,state,fb-survey
72,me,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,13.4804562,0.8916499,1467.0,state,fb-survey
73,mi,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.4255399,0.3381783,8848.9933,state,fb-survey
74,mn,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.2906088,0.561068,3181.6762,state,fb-survey
75,mo,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.8871853,0.5844238,3286.8832,state,fb-survey
76,ms,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.3472194,0.8699896,1429.9036,state,fb-survey
77,mt,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,8.5806103,0.9363956,894.6183,state,fb-survey
78,nc,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.3926842,0.3963299,5418.0051,state,fb-survey
79,nd,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,8.4411438,1.3230994,441.4858,state,fb-survey
80,ne,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.2255115,0.9085936,1207.1325,state,fb-survey
81,nh,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.2307621,0.9058321,1215.0,state,fb-survey
82,nj,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,9.4753574,0.4577838,4092.9986,state,fb-survey
83,nm,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.7973938,0.7713977,1748.6818,state,fb-survey
84,nv,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.7513776,0.9005498,1371.8298,state,fb-survey
85,ny,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,10.4981122,0.326021,8840.0006,state,fb-survey
86,oh,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,12.150201,0.3924318,6930.9991,state,fb-survey
87,ok,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.9764209,0.6844976,2249.9986,state,fb-survey
88,or,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,13.2947346,0.5953551,3252.1683,state,fb-survey
89,pa,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.0878491,0.3527437,7923.0046,state,fb-survey
90,ri,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,15.4496715,1.3583236,707.9915,state,fb-survey
