,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
50,wy,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,56.7539736,2.3597863,440.7549,state,fb-survey
51,ak,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,74.5137025,1.9334796,508.0,state,fb-survey
52,al,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,73.5749512,0.9166155,2314.0427,state,fb-survey
53,ar,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,73.6404915,1.1041527,1592.1931,state,fb-survey
54,az,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,83.1170822,0.6059154,3822.2039,state,fb-survey
55,ca,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,91.4481229,0.2255904,15367.2076,state,fb-survey
56,co,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,86.6215235,0.5786596,3460.877,state,fb-survey
57,ct,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,92.2591759,0.5198162,2643.0,state,fb-survey
58,dc,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,92.4341864,1.5423057,294.0,state,fb-survey
59,de,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,91.1906894,1.018769,774.0,state,fb-survey
60,fl,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,81.7367668,0.353957,11915.0004,state,fb-survey
61,ga,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,78.7821309,0.6345096,4151.9594,state,fb-survey
62,hi,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,93.7848927,0.8763344,759.0,state,fb-survey
63,ia,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,77.8133343,0.8422435,2433.7209,state,fb-survey
64,id,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,67.2022966,1.3310027,1244.1412,state,fb-survey
65,il,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,88.0204245,0.3784038,7364.0011,state,fb-survey
66,in,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,80.1138094,0.6367784,3929.0032,state,fb-survey
67,ks,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,74.5222293,1.0097568,1862.1458,state,fb-survey
68,ky,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,85.0089051,0.7164439,2482.752,state,fb-survey
69,la,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,75.9766173,0.9181807,2164.9995,state,fb-survey
70,ma,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,93.3364166,0.4147294,3616.008,state,fb-survey
71,md,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,92.8818398,0.4701552,2990.9978,state,fb-survey
72,me,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,89.9462436,0.7867388,1461.0,state,fb-survey
73,mi,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,89.2926884,0.3285712,8855.9939,state,fb-survey
74,mn,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,86.5706916,0.6056264,3169.6764,state,fb-survey
75,mo,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,76.7179797,0.735938,3297.8836,state,fb-survey
76,ms,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,72.9775429,1.165851,1450.8683,state,fb-survey
77,mt,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,69.6679261,1.5386389,892.6096,state,fb-survey
78,nc,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,86.3488752,0.4643843,5466.0054,state,fb-survey
79,nd,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,65.5405368,2.2494054,446.3577,state,fb-survey
80,ne,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,79.3417058,1.1618898,1214.1325,state,fb-survey
81,nh,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,87.6520828,0.9430456,1217.0,state,fb-survey
82,nj,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,92.5133039,0.4083326,4153.9984,state,fb-survey
83,nm,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,89.5346748,0.7299194,1758.7098,state,fb-survey
84,nv,smoothed_wwearing_mask_7d,2021-05-02,2021-05-07,5,87.8403854,0.8785493,1383.8269,state,fb-survey
