,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
54,az,smoothed_wworried_finances,2021-05-02,2021-05-07,5,36.8608608,0.7786962,3838.2039,state,fb-survey
55,ca,smoothed_wworried_finances,2021-05-02,2021-05-07,5,41.5109167,0.3977831,15344.2076,state,fb-survey
56,co,smoothed_wworried_finances,2021-05-02,2021-05-07,5,33.841783,0.8031542,3470.8769,state,fb-survey
57,ct,smoothed_wworried_finances,2021-05-02,2021-05-07,5,35.8872192,0.9312657,2653.0,state,fb-survey
58,dc,smoothed_wworried_finances,2021-05-02,2021-05-07,5,28.6055597,2.6629388,288.0,state,fb-survey
59,de,smoothed_wworried_finances,2021-05-02,2021-05-07,5,36.9108402,1.7379095,771.0,state,fb-survey
60,fl,smoothed_wworried_finances,2021-05-02,2021-05-07,5,39.5249755,0.4486304,11876.0004,state,fb-survey
61,ga,smoothed_wworried_finances,2021-05-02,2021-05-07,5,38.2145649,0.7562927,4127.9573,state,fb-survey
62,hi,smoothed_wworried_finances,2021-05-02,2021-05-07,5,39.8377319,1.7711801,764.0,state,fb-survey
63,ia,smoothed_wworried_finances,2021-05-02,2021-05-07,5,32.6141935,0.9481387,2444.7325,state,fb-survey
64,id,smoothed_wworried_finances,2021-05-02,2021-05-07,5,33.853775,1.3351757,1256.1321,state,fb-survey
65,il,smoothed_wworried_finances,2021-05-02,2021-05-07,5,36.6045139,0.5605588,7385.0012,state,fb-survey
66,in,smoothed_wworried_finances,2021-05-02,2021-05-07,5,37.4655855,0.7726019,3925.0034,state,fb-survey
67,ks,smoothed_wworried_finances,2021-05-02,2021-05-07,5,33.8056932,1.0906716,1881.1458,state,fb-survey
68,ky,smoothed_wworried_finances,2021-05-02,2021-05-07,5,40.2492577,0.9863889,2471.7518,state,fb-survey
69,la,smoothed_wworried_finances,2021-05-02,2021-05-07,5,43.9270664,1.0646649,2172.9994,state,fb-survey
70,ma,smoothed_wworried_finances,2021-05-02,2021-05-07,5,35.1286547,0.7935283,3619.0085,state,fb-survey
71,md,smoothed_wworried_finances,2021-05-02,2021-05-07,5,35.3754372,0.873824,2993.9978,state,fb-survey
72,me,smoothed_wworried_finances,2021-05-02,2021-05-07,5,36.6538536,1.2516872,1482.0,state,fb-survey
73,mi,smoothed_wworried_finances,2021-05-02,2021-05-07,5,33.3925407,0.4987898,8939.9932,state,fb-survey
74,mn,smoothed_wworried_finances,2021-05-02,2021-05-07,5,29.1459725,0.8027499,3204.6645,state,fb-survey
75,mo,smoothed_wworried_finances,2021-05-02,2021-05-07,5,34.1497486,0.8240147,3311.8834,state,fb-survey
76,ms,smoothed_wworried_finances,2021-05-02,2021-05-07,5,44.9825825,1.3096451,1442.9037,state,fb-survey
77,mt,smoothed_wworried_finances,2021-05-02,2021-05-07,5,32.4143383,1.5587789,901.6183,state,fb-survey
78,nc,smoothed_wworried_finances,2021-05-02,2021-05-07,5,34.6665516,0.6442964,5456.0053,state,fb-survey
79,nd,smoothed_wworried_finances,2021-05-02,2021-05-07,5,28.5013161,2.1387723,445.4858,state,fb-survey
80,ne,smoothed_wworried_finances,2021-05-02,2021-05-07,5,34.1637247,1.3638867,1209.1325,state,fb-survey
81,nh,smoothed_wworried_finances,2021-05-02,2021-05-07,5,28.6033415,1.290105,1227.0,state,fb-survey
82,nj,smoothed_wworried_finances,2021-05-02,2021-05-07,5,39.1493048,0.7574713,4151.9986,state,fb-survey
83,nm,smoothed_wworried_finances,2021-05-02,2021-05-07,5,41.9757598,1.1711642,1775.7118,state,fb-survey
84,nv,smoothed_wworried_finances,2021-05-02,2021-05-07,5,41.3988375,1.322623,1386.8269,state,fb-survey
85,ny,smoothed_wworried_finances,2021-05-02,2021-05-07,5,41.5461338,0.5215486,8928.0006,state,fb-survey
86,oh,smoothed_wworried_finances,2021-05-02,2021-05-07,5,35.2921689,0.5728955,6957.9995,state,fb-survey
87,ok,smoothed_wworried_finances,2021-05-02,2021-05-07,5,42.7874965,1.0380061,2271.9985,state,fb-survey
88,or,smoothed_wworried_finances,2021-05-02,2021-05-07,5,33.8921604,0.8272286,3274.1694,state,fb-survey
89,pa,smoothed_wworried_finances,2021-05-02,2021-05-07,5,34.7348217,0.5329265,7982.0047,state,fb-survey
90,ri,smoothed_wworried_finances,2021-05-02,2021-05-07,5,40.6206146,1.8265203,722.9915,state,fb-survey
91,sc,smoothed_wworried_finances,2021-05-02,2021-05-07,5,37.4765743,0.8581261,3182.0018,state,fb-survey
92,sd,smoothed_wworried_finances,2021-05-02,2021-05-07,5,36.1030642,1.8390937,682.0503,state,fb-survey
93,tn,smoothed_wworried_finances,2021-05-02,2021-05-07,5,37.7616777,0.7934344,3733.2507,state,fb-survey
94,tx,smoothed_wworried_finances,2021-05-02,2021-05-07,5,44.9260099,0.466633,11363.0111,state,fb-survey
95,ut,smoothed_wworried_finances,2021-05-02,2021-05-07,5,35.1236328,1.168386,1669.2189,state,fb-survey
96,va,smoothed_wworried_finances,2021-05-02,2021-05-07,5,34.5607695,0.65425,5283.6503,state,fb-survey
97,vt,smoothed_wworried_finances,2021-05-02,2021-05-07,5,29.8700264,1.8278288,627.001,state,fb-survey
98,wa,smoothed_wworried_finances,2021-05-02,2021-05-07,5,34.2469392,0.6635743,5113.9754,state,fb-survey
99,wi,smoothed_wworried_finances,2021-05-02,2021-05-07,5,29.5578848,0.7383763,3819.0048,state,fb-survey
100,wv,smoothed_wworried_finances,2021-05-02,2021-05-07,5,40.9276004,1.3020641,1426.0546,state,fb-survey
101,wy,smoothed_wworried_finances,2021-05-02,2021-05-07,5,35.8714581,2.2845473,440.7579,state,fb-survey
102,ak,smoothed_wworried_finances,2021-05-03,2021-05-08,5,38.7751095,2.214715,484.0,state,fb-survey
103,al,smoothed_wworried_finances,2021-05-03,2021-05-08,5,38.8195066,1.0350108,2217.0383,state,fb-survey
104,ar,smoothed_wworried_finances,2021-05-03,2021-05-08,5,39.229047,1.2345443,1564.1933,state,fb-survey
105,az,smoothed_wworried_finances,2021-05-03,2021-05-08,5,35.8631971,0.7805972,3774.873,state,fb-survey
106,ca,smoothed_wworried_finances,2021-05-03,2021-05-08,5,41.2742843,0.4039515,14854.2049,state,fb-survey
107,co,smoothed_wworried_finances,2021-05-03,2021-05-08,5,33.8949177,0.809901,3415.9029,state,fb-survey
108,ct,smoothed_wworried_finances,2021-05-03,2021-05-08,5,35.8669875,0.9605658,2493.0,state,fb-survey
109,dc,smoothed_wworried_finances,2021-05-03,2021-05-08,5,28.5889253,2.6578641,289.0,state,fb-survey
110,de,smoothed_wworried_finances,2021-05-03,2021-05-08,5,40.8050085,1.8202685,729.0,state,fb-survey
111,fl,smoothed_wworried_finances,2021-05-03,2021-05-08,5,39.3812618,0.4594681,11308.0002,state,fb-survey
112,ga,smoothed_wworried_finances,2021-05-03,2021-05-08,5,38.6562184,0.777477,3922.968,state,fb-survey
113,hi,smoothed_wworried_finances,2021-05-03,2021-05-08,5,41.2300551,1.8144529,736.0,state,fb-survey
114,ia,smoothed_wworried_finances,2021-05-03,2021-05-08,5,32.1957494,0.9628485,2354.7215,state,fb-survey
115,id,smoothed_wworried_finances,2021-05-03,2021-05-08,5,35.1094421,1.3853295,1187.1327,state,fb-survey
116,il,smoothed_wworried_finances,2021-05-03,2021-05-08,5,36.0596577,0.5679049,7149.0014,state,fb-survey
117,in,smoothed_wworried_finances,2021-05-03,2021-05-08,5,37.7660227,0.7881133,3784.0034,state,fb-survey
118,ks,smoothed_wworried_finances,2021-05-03,2021-05-08,5,34.211633,1.1225337,1786.1755,state,fb-survey
119,ky,smoothed_wworried_finances,2021-05-03,2021-05-08,5,40.0289124,1.0047211,2378.0701,state,fb-survey
120,la,smoothed_wworried_finances,2021-05-03,2021-05-08,5,44.3735184,1.0970337,2050.9993,state,fb-survey
121,ma,smoothed_wworried_finances,2021-05-03,2021-05-08,5,34.4101739,0.8160659,3389.01,state,fb-survey
122,md,smoothed_wworried_finances,2021-05-03,2021-05-08,5,36.0721937,0.9030081,2827.9979,state,fb-survey
123,me,smoothed_wworried_finances,2021-05-03,2021-05-08,5,36.4839825,1.3072628,1356.0,state,fb-survey
124,mi,smoothed_wworried_finances,2021-05-03,2021-05-08,5,34.0376114,0.5146135,8477.9925,state,fb-survey
125,mn,smoothed_wworried_finances,2021-05-03,2021-05-08,5,29.1115419,0.8268075,3018.7829,state,fb-survey
126,mo,smoothed_wworried_finances,2021-05-03,2021-05-08,5,34.223801,0.8431065,3166.8836,state,fb-survey
127,ms,smoothed_wworried_finances,2021-05-03,2021-05-08,5,46.5533065,1.3323027,1401.7338,state,fb-survey
128,mt,smoothed_wworried_finances,2021-05-03,2021-05-08,5,33.2485655,1.6077286,858.6339,state,fb-survey
129,nc,smoothed_wworried_finances,2021-05-03,2021-05-08,5,35.799402,0.6625328,5236.0055,state,fb-survey
130,nd,smoothed_wworried_finances,2021-05-03,2021-05-08,5,30.4084288,2.1821226,444.4187,state,fb-survey
131,ne,smoothed_wworried_finances,2021-05-03,2021-05-08,5,34.094902,1.3828201,1175.1062,state,fb-survey
132,nh,smoothed_wworried_finances,2021-05-03,2021-05-08,5,29.9724812,1.3503864,1151.0,state,fb-survey
133,nj,smoothed_wworried_finances,2021-05-03,2021-05-08,5,39.1475402,0.7763953,3951.9987,state,fb-survey
134,nm,smoothed_wworried_finances,2021-05-03,2021-05-08,5,40.542974,1.1841658,1719.0708,state,fb-survey
135,nv,smoothed_wworried_finances,2021-05-03,2021-05-08,5,42.4287957,1.3532649,1333.8298,state,fb-survey
136,ny,smoothed_wworried_finances,2021-05-03,2021-05-08,5,42.0977207,0.5351953,8510.0008,state,fb-survey
137,oh,smoothed_wworried_finances,2021-05-03,2021-05-08,5,35.3139511,0.5866683,6636.9988,state,fb-survey
138,ok,smoothed_wworried_finances,2021-05-03,2021-05-08,5,42.3807748,1.0677229,2141.9988,state,fb-survey
139,or,smoothed_wworried_finances,2021-05-03,2021-05-08,5,33.7994349,0.8369635,3194.1706,state,fb-survey
140,pa,smoothed_wworried_finances,2021-05-03,2021-05-08,5,34.9272135,0.5489933,7541.0041,state,fb-survey
141,ri,smoothed_wworried_finances,2021-05-03,2021-05-08,5,38.3631815,1.8512114,689.99,state,fb-survey
142,sc,smoothed_wworried_finances,2021-05-03,2021-05-08,5,36.8569184,0.8718055,3062.0027,state,fb-survey
143,sd,smoothed_wworried_finances,2021-05-03,2021-05-08,5,36.8898516,1.8530611,677.9952,state,fb-survey
144,tn,smoothed_wworried_finances,2021-05-03,2021-05-08,5,38.9432558,0.8179542,3553.9222,state,fb-survey
145,tx,smoothed_wworried_finances,2021-05-03,2021-05-08,5,44.8427711,0.4767523,10882.0163,state,fb-survey
146,ut,smoothed_wworried_finances,2021-05-03,2021-05-08,5,34.7729114,1.2041887,1564.1557,state,fb-survey
147,va,smoothed_wworried_finances,2021-05-03,2021-05-08,5,35.3495224,0.676377,4995.4846,state,fb-survey
148,vt,smoothed_wworried_finances,2021-05-03,2021-05-08,5,27.9226519,1.8708696,575.0008,state,fb-survey
149,wa,smoothed_wworried_finances,2021-05-03,2021-05-08,5,34.1093149,0.6740974,4945.9733,state,fb-survey
150,wi,smoothed_wworried_finances,2021-05-03,2021-05-08,5,29.6401895,0.7570272,3639.0052,state,fb-survey
151,wv,smoothed_wworried_finances,2021-05-03,2021-05-08,5,41.7347655,1.3193107,1397.0543,state,fb-survey
152,wy,smoothed_wworried_finances,2021-05-03,2021-05-08,5,37.9985304,2.3719333,418.7587,state,fb-survey
153,ak,smoothed_wworried_finances,2021-05-04,2021-05-09,5,38.616408,2.2222426,480.0,state,fb-survey
154,al,smoothed_wworried_finances,2021-05-04,2021-05-09,5,38.3523414,1.0459803,2161.0335,state,fb-survey
155,ar,smoothed_wworried_finances,2021-05-04,2021-05-09,5,40.3204973,1.2618702,1511.1991,state,fb-survey
